code,atr14
6952,90.14
6954,166.36
6963,234.86
6965,75.96
6971,93.71
6976,562.57
6981,354.86
6988,94.07
7003,201.0
7011,122.71
7012,81.86
7013,112.07
7164,32.36
7167,42.57
7180,39.46
7181,40.07
7182,87.64
7186,49.93
7189,135.07
7201,11.55
7202,52.96
7203,76.5
7211,13.52
7240,60.39
7259,47.5
7261,38.25
7267,46.25
7269,58.89
7270,60.18
7272,60.79
7276,46.68
7282,151.93
7309,465.0
7313,20.68
7337,54.25
7453,122.92
7458,28.79
7459,48.82
7476,51.82
7532,26.16
7550,342.5
7616,34.36
7649,30.97
7701,80.07
7729,771.43
7731,54.04
7733,56.21
7735,497.14
7741,594.64
7747,140.43
7751,72.29
7752,34.57
7832,156.36
7846,46.71
7867,77.21
7911,186.64
7912,71.36
7936,178.29
7951,23.82
7956,43.14
7974,263.5
7984,14.62
7988,105.21
8001,52.43
8002,125.0
8012,29.54
8015,239.71
8020,49.64
8031,129.07
8035,2307.86
8053,55.21
8056,103.93
8058,125.36
8060,78.57
8086,29.14
8088,52.57
8111,39.82
8113,17.02
8129,76.43
8136,47.54
8174,58.04
8227,66.43
8233,66.09
8242,62.89
8252,41.57
8253,92.93
8267,29.81
8282,35.96
8304,80.36
8306,87.64
8308,69.0
8309,40.93
8316,162.57
8331,76.07
8334,72.21
8341,104.93
8354,182.14
8359,66.93
8377,238.0
8410,6.01
8411,220.29
8418,75.14
8424,51.64
8439,62.75
8473,105.07
8570,36.65
8572,5.5
8591,152.57
8593,17.71
8595,22.93
8601,39.04
8604,37.64
8630,134.5
8697,48.11
8725,116.14
8729,3.91
8750,42.14
8766,173.5
8795,113.86
8801,31.61
8802,76.0
8804,59.0
8830,70.5
8876,41.18
9001,39.89
9003,36.25
9005,21.39
9006,20.82
9007,26.5
9008,11.66
9009,25.64
9020,67.21
9021,48.46
9022,76.43
9023,18.46
9024,77.79
9031,55.14
9041,47.21
9042,80.0
9044,53.14
9045,41.36
9048,20.36
9064,36.32
9065,145.14
9069,41.18
9072,145.21
9076,47.0
9101,226.79
9104,236.14
9107,116.79
9142,56.14
9143,31.39
9147,138.07
9201,50.43
9202,44.75
9301,22.43
9302,53.71
9364,57.71
9401,107.57
9404,57.96
9432,3.06
9433,51.25
9434,3.51
9435,675.0
9449,113.5
9468,84.36
9501,25.24
9502,84.14
9503,99.57
9504,28.25
9505,28.7
9506,35.21
9507,65.46
9508,71.46
9509,32.39
9513,89.79
9531,127.29
9532,106.21
9533,25.61
9602,35.56
9616,86.29
9627,109.29
9684,101.64
9697,135.14
9706,124.5
9735,96.0
9744,36.36
9759,57.46
9766,631.07
9831,14.61
9843,96.04
9861,67.97
9934,66.57
9962,119.64
9983,1689.25
9984,319.64
9987,92.07
9989,53.29
